"ruleQuestionId","body","prompt","ruleId","ruleName"
"618","{""0"":""Humpback whales {can} hold their breath for more than an hour.""}","""Humpback whales <u>can / may</u> hold their breath for more than an hour.""","119","""Can vs. May"""
"619","{""0"":""We {should} write for the school newspaper.""}","""We <u>should / must</u> write for the school newspaper.""","120","""Should vs. Must"""
"622","{""0"":""Jimmy rustled {in} the nearby shrub.""}","""Jimmy rustled <u>in / under</u> the nearby shrub.""","124","""Prepositional Phrases: Adverb"""
"627","{""0"":""Many cities have a {Main Street} or a {First Street}.""}","""Many cities have a main street or a first street.""","136","""Addresses"""
"653","{""0"":""Traveling is {easier} with a guide than without one.""}","""Traveling is <u>easy</u> with a guide than without one.""","157","""Adjectives Ending in \\""\\""y\\""\\"""""
"674","{""0"":""I sent the letter to {22 Periwinkle Way, Miami, Florida 01234}.""}","""I sent the letter to 22 Periwinkle Way Miami Florida, 01234.""","163","""Use Commas in Addresses"""
"675","{""0"":""The taxi is taking me to 14 Sesame {Street,} Chicago, Illinois 01234.""}","""The taxi is taking me to 14 Sesame Street Chicago, Illinois, 01234.""","163","""Use Commas in Addresses"""
"676","{""0"":""I now work at 44 Fifth {Street,} Portland, {Maine} 01234.""}","""I now work at 44 Fifth Street Portland, Maine, 01234.""","163","""Use Commas in Addresses"""
"715","{""0"":""We go apple picking in the fall. {However,} this year it was too cold.""}","""We go apple picking in the fall. This year it was too cold.""","173","""However"""
"753","{""0"":""I {lost} many games before becoming this skilled.""}","""I <u>lose</u> many games before becoming this skilled.""","182","""Lost"""
"768","{""0"":""The {big, red} ball bounced very high.""}","""The big and red ball bounced very high.""","187","""Two Adjectives"""
"769","{""0"":""That {bright, shiny} ring must have been expensive.""}","""That bright and shiny ring must have been expensive.""","187","""Two Adjectives"""
"770","{""0"":""This {smooth, creamy} soup is good for a sore throat.""}","""This smooth and creamy soup is good for a sore throat.""","187","""Two Adjectives"""
"777","{""0"":""She is a talented athlete, but she {has} poor sportsmanship.""}","""She is a talented athlete, but she <u>had</u> poor sportsmanship.""","190","""Verb Tense Shift"""
"786","{""0"":""{He} performed a joyful jig at the prospect of company.""}","""<u>he</u> performed a joyful jig at the prospect of company_""","193","""Using Quill"""
"787","{""0"":""{There} were plenty of fish in the nearby river.""}","""<u>there</u> were plenty of fish in the nearby river_""","193","""Using Quill"""
"788","{""0"":""{I} would like cream and sugar with my coffee.""}","""<u>i</u> would like cream and sugar with my coffee_""","193","""Using Quill"""
"791","{""0"":""{We can't even see two inches in front of our noses.}"",""1"":""{We can't even see 2 inches in front of our noses.}""}","""wee cant even see too inches in fort of are noses""","194","""Correct Messy Sentences"""
"811","{""0"":""My surfing friends are always telling me to, \\""\\""hang {loose}.\\""\\""""}","""My surfing friends are always telling me to, \\""\\""hang _____.\\""\\""""","209","""Loose, Lose"""
"820","{""0"":""A true king rules not from the {throne}, but from the field.""}","""A true king rules not from the _____, but from the field.""","197","""Thrown, Throne"""
"821","{""0"":""By the time we arrived, the suspect had {thrown} out all the evidence.""}","""By the time we arrived, the suspect had _____ out all the evidence.""","197","""Thrown, Throne"""
"822","{""0"":""My dad calls the leather chair in the living room his \\""\\""{throne}.\\""\\""""}","""My dad calls the leather chair in the living room his \\""\\""_____.\\""\\""""","197","""Thrown, Throne"""
"823","{""0"":""This year, I decided to grow some {mint} in my garden.""}","""This year, I decided to grow some _____ in my garden.""","198","""Meant, Mint"""
"824","{""0"":""Everybody has uttered the phrase, \\""\\""That's not what I {meant} to say.\\""\\""""}","""Everybody has uttered the phrase, \\""\\""That's not what I _____ to say.\\""\\""""","198","""Meant, Mint"""
"825","{""0"":""! '\\""\\""I {meant} what I said, and I''m not taking it back.\\""\\""'""}","""\\""\\""I _____ what I said, and I'm not taking it back.\\""\\""""","198","""Meant, Mint"""
"826","{""0"":""{Although} we studied common spelling mistakes, some of us still write \\""\\""all though.\\""\\""""}","""_____ we studied common spelling mistakes, some of us still write \\""\\""all though.\\""\\""""","199","""Although"""
"827","{""0"":""I am pretty sure that's true, {although} I could be wrong.""}","""I am pretty sure that's true, _____ I could be wrong.""","199","""Although"""
"828","{""0"":""The gods heard the {pleas} of the family and saved the little boy.""}","""The gods heard the _____ of the family and saved the little boy.""","200","""Please, Pleas"""
"829","{""0"":""! '\\""\\""Can you {please} turn on the baseball game? I want to see who wins!\\""\\""'""}","""\\""\\""Can you _____ turn on the baseball game? I want to see who wins!\\""\\""""","200","""Please, Pleas"""
"830","{""0"":""The rescue squad heard the {pleas} for help, and decided to brave the forest fire.""}","""The rescue squad heard the _____ for help, and decided to brave the forest fire.""","200","""Please, Pleas"""
"831","{""0"":""The {poor} turtle had to walk home alone in the rain.""}","""The _____ turtle had to walk home alone in the rain.""","202","""Pour, Poor"""
"832","{""0"":""Make sure to {pour} the water slowly so it does not spill.""}","""Make sure to _____ the water slowly so it does not spill.""","202","""Pour, Poor"""
"833","{""0"":""There is currently a large gap between the wealthy and the {poor} in most countries.""}","""There is currently a large gap between the wealthy and the _____ in most countries.""","202","""Pour, Poor"""
"834","{""0"":""You are {finally} nearing the end of the race!""}","""You are _____ nearing the end of the race!""","201","""Finally, Finely"""
"835","{""0"":""Make sure the onions are {finely} chopped before putting them in the pot.""}","""Make sure the onions are _____ chopped before putting them in the pot.""","201","""Finally, Finely"""
"836","{""0"":""You can see how {finely} crafted the ancient pottery was by looking at the designs.""}","""You can see how _____ crafted the ancient pottery was by looking at the designs.""","201","""Finally, Finely"""
"837","{""0"":""The waters surrounding {Greece} are so clear, you can see all the way to the bottom.""}","""The waters surrounding _____ are so clear, you can see all the way to the bottom.""","203","""Greece, Grease"""
"838","{""0"":""There was so much {grease} left on the bacon when we ate it.""}","""There was so much _____ left on the bacon when we ate it.""","203","""Greece, Grease"""
"839","{""0"":""They do not use much {grease} for traditional meals prepared in {Greece}.""}","""They do not use much _____ for traditional meals prepared in _____.""","203","""Greece, Grease"""
"840","{""0"":""The monks would meditate under waterfalls to spiritually {cleanse} themselves.""}","""The monks would meditate under waterfalls to spiritually _____ themselves.""","204","""Clean, Cleanse"""
"841","{""0"":""Many people believe it is important to {clean} your desk every day.""}","""Many people believe it is important to _____ your desk every day.""","204","""Clean, Cleanse"""
"842","{""0"":""Many of my friends use facial scrubs that {cleanse} their skin.""}","""Many of my friends use facial scrubs that _____ their skin.""","204","""Clean, Cleanse"""
"843","{""0"":""Don't make any loud noises, I think there is a {bear} in the car.""}","""Don't make any loud noises, I think there is a _____ in the car.""","205","""Bear, Bare"""
"844","{""0"":""Children have a tendency to {bare} all their secrets to anybody who will listen.""}","""Children have a tendency to _____ all their secrets to anybody who will listen.""","205","""Bear, Bare"""
"845","{""0"":""If you work at something long enough, your labor will eventually {bear} fruit.""}","""If you work at something long enough, your labor will eventually _____ fruit.""","205","""Bear, Bare"""
"846","{""0"":""The Viking crew went from village to village, {razing} all the houses.""}","""The Viking crew went from village to village, _____ all the houses.""","218","""Vocabulary: Raised vs Razed"""
"847","{""0"":""I needed to {raise} my scores in math class, so I got a tutor.""}","""I needed to _____ my scores in math class, so I got a tutor.""","218","""Vocabulary: Raised vs Razed"""
"848","{""0"":""! '\\""\\""Don''t {raise} my expectations and then let me down kid,\\""\\"" said the gruff coach.'""}","""\\""\\""Don't _____ my expectations and then let me down kid,\\""\\"" said the gruff coach.""","218","""Vocabulary: Raised vs Razed"""
"852","{""0"":""The spotlight {shone} brightly down on the stage.""}","""The spotlight _____ brightly down on the stage.""","224","""Vocabulary: Shown vs Shone"""
"853","{""0"":""When I asked if I could touch the art, I was quickly {shown} the door.""}","""When I asked if I could touch the art, I was quickly _____ the door.""","224","""Vocabulary: Shown vs Shone"""
"854","{""0"":""The new movie was being {shown} at theaters all across America.""}","""The new movie was being _____ at theaters all across America.""","224","""Vocabulary: Shown vs Shone"""
"855","{""0"":""I {cannot} believe how cool physics is.""}","""I _____ believe how cool physics is.""","221","""Vocabulary: Cannot"""
"856","{""0"":""This book {cannot} get any more tense.""}","""This book _____ get any more tense.""","221","""Vocabulary: Cannot"""
"857","{""0"":""In the {past}, I used to be the best guitarist in Boston.""}","""In the _____, I used to be the best guitarist in Boston.""","216","""Vocabulary: Passed vs Past"""
"858","{""0"":""Just before he got tackled, my friend {passed} me the ball.""}","""Just before he got tackled, my friend _____ me the ball.""","216","""Vocabulary: Passed vs Past"""
"859","{""0"":""The clock reads half {past} nine.""}","""The clock reads half _____ nine.""","216","""Vocabulary: Passed vs Past"""
"860","{""0"":""Do all fairy tales end with the phrase, \\""\\""happily {ever after}?\\""\\""""}","""Do all fairy tales end with the phrase, \\""\\""happily ________?\\""\\""""","225","""Vocabulary: Ever after"""
"864","{""0"":""! '\\""\\""I cannot believe that {Mary} is about to get first place!\\""\\""'""}","""\\""\\""I cannot believe that _____ is about to get first place!\\""\\""""","222","""Vocabulary: Mary vs Marry"""
"865","{""0"":""In this day and age, you should be able to {marry} when you choose.""}","""In this day and age, you should be able to _____ when you choose.""","222","""Vocabulary: Mary vs Marry"""
"866","{""0"":""I would go rock climbing {every day} if I had time.""}","""I would go rock climbing ______ if I had time.""","215","""Vocabulary: Every Day vs Everyday"""
"867","{""0"":""In winter, playing ice hockey on the lake was an {everyday} activity for us.""}","""In winter, playing ice hockey on the lake was an ______ activity for us.""","215","""Vocabulary: Every Day vs Everyday"""
"868","{""0"":""Graduating high school isn't an {everyday} occurrence, so I think it's a reason to\\n  celebrate.""}","""Graduating high school isn't an ______ occurrence, so I think it's a reason to celebrate.""","215","""Vocabulary: Every Day vs Everyday"""
"869","{""0"":""As he continued the race, his {breath} became more ragged.""}","""As he continued the race, his ______ became more ragged.""","217","""Vocabulary: Breath vs Breathe"""
"870","{""0"":""The rabbit's {breath} was visible in the night air.""}","""The rabbit's _____ was visible in the night air.""","217","""Vocabulary: Breath vs Breathe"""
"871","{""0"":""Before you go into an interview, it's a good idea to take a deep {breath}.""}","""Before you go into an interview, it's a good idea to take a deep ______.""","217","""Vocabulary: Breath vs Breathe"""
"872","{""0"":""The circus performers put on {quite} a show with their acrobatic feats.""}","""The circus performers put on _____ a show with their acrobatic feats.""","223","""Vocabulary: Quiet vs Quite"""
"873","{""0"":""The recording studio turned on the sign that read, \\""\\""{Quiet} while filming please.\\""\\""""}","""The recording studio turned on the sign that read, \\""\\""_____ while filming please.\\""\\""""","223","""Vocabulary: Quiet vs Quite"""
"874","{""0"":""There is nothing {quite} like eating popcorn at a movie theater.""}","""There is nothing _____ like eating popcorn at a movie theater.""","223","""Vocabulary: Quiet vs Quite"""
"875","{""0"":""! '\\""\\""{Mary} was the quickest learner I ever taught.\\""\\""'""}","""\\""\\""_____ was the quickest learner I ever taught.\\""\\""""","222","""Vocabulary: Mary vs Marry"""
"876","{""0"":""It is better to write \\""\\""{cannot}\\""\\"" in formal essays, rather than \\""\\""can't\\""\\"".""}","""It is better to write \\""\\""_____\\""\\"" in formal essays, rather than \\""\\""can't\\""\\"".""","221","""Vocabulary: Cannot"""
"877","{""0"":""The customer was looking for a \\""\\""happily {ever after}\\""\\"" type of story, can you help\\n  him?""}","""The customer was looking for a \\""\\""happily _________\\""\\"" type of story, can you help him?""","225","""Vocabulary: Ever after"""
"878","{""0"":""! '\\""\\""Billy had this crazy idea where the story should end \\""\\""happily never after\\""\\"" rather\\n  than \\""\\""{ever after}\\""\\"".'""}","""\\""\\""Billy had this crazy idea where the story should end \\""\\""happily never after\\""\\"" rather than \\""\\""______\\""\\"".""","225","""Vocabulary: Ever after"""
"885","{""0"":""Blackbeard {dug} a deep hole and buried his chest there, where nobody would look.""}","""Blackbeard _____ a deep hole and buried his chest there, where nobody would look.""","227","""Dug"""
"887","{""0"":""When they built the house, they made sure they {dug} the foundation deep enough.""}","""When they built the house, they made sure they _____ the foundation deep enough.""","227","""Dug"""
"888","{""0"":""Our proctor {lets} us listen to music during study hall.""}","""Our proctor ______ us listen to music during study hall.""","232","""Let's vs Lets"""
"889","{""0"":""! '\\""\\""{Let''s} get out of here!\\""\\"" said my friend when the ghost showed up.'""}","""\\""\\""_____ get out of here!\\""\\"" said my friend when the ghost showed up.""","232","""Let's vs Lets"""
"890","{""0"":""! '\\""\\""I guess we are lucky, our school {lets} us choose our classes.\\""\\""'""}","""\\""\\""I guess we are lucky, our school ______ us choose our classes.\\""\\""""","232","""Let's vs Lets"""
"922","{""0"":""The {guest's} shoes were placed in the corner.""}","""The <u>guest's / guests</u> shoes were placed in the corner.""","12","""Possessive Nouns"""
"948","{""0"":""The desert is an arid place{, but} creatures still live there.""}","""The desert is an arid place. Creatures still live there.""","22","""But"""
"949","{""0"":""Andy wore his new suit{, but} his hair was unkempt.""}","""Andy wore his new suit. His hair was unkempt.""","22","""But"""
"964","{""0"":""The possum {hid} in our backyard during the day.""}","""The possum _____ in our backyard during the day.""","241","""Hid"""
"1059","{""0"":""'{\\""\\""What a silly pup,\\""\\""} Uncle Gary chuckled with a smile.'"",""1"":""'{\\""\\""What a silly pup,\\""\\""} uncle Gary chuckled with a smile.'""}","""What a silly pup, Uncle Gary chuckled with a smile.""","164","""Use Commas and Quotation Marks in Dialogue"""
"1120","{""0"":""{That} stained glass up there looks nice in the sun.""}","""_____ stained glass up there looks nice in the sun.""","32","""This & That"""
"1165","{""0"":""They have {become} good friends.""}","""They have <u>became</u> good friends.""","248","""Became"""
"1170","{""0"":""The leaves {fall} and cover the ground."",""1"":""The leaves {fell and covered} the ground.""}","""The leaves fell and cover the ground.""","249","""Verb Tense"""
"1171","{""0"":""The bus stopped, {opened} its doors, and let everybody on board.""}","""The bus stopped, opens its doors, and let everybody on board.""","250","""Practice: Parallel Structure"""
"1172","{""0"":""The team stretched their legs, {practiced} their drills, and then rehearsed their set plays.""}","""The team stretched their legs, practice their drills, and then rehearsed their set plays.""","250","""Practice: Parallel Structure"""
"1173","{""0"":""The twin babies were laughing, giggling, and {crawling} for hours.""}","""The twin babies were laughing, giggling, and crawled for hours.""","250","""Practice: Parallel Structure"""
"1174","{""0"":""Richie enjoys reading novels, {drawing} comics, and writing articles.""}","""Richie enjoys reading novels, to draw comics, and writing articles.""","250","""Practice: Parallel Structure"""
"1175","{""0"":""I like to hike, {to swim}, and to surf when I have free time.""}","""I like to hike, to go swimming, and to surf when I have free time.""","250","""Practice: Parallel Structure"""
"1176","{""0"":""We need to buy presents, bake a cake, and {invite} all our friends.""}","""We need to buy presents, bake a cake, and invited all our friends.""","250","""Practice: Parallel Structure"""
"1177","{""0"":""He spent all day washing the car, vacuuming the carpet, and {dusting} the countertops.""}","""He spent all day washing the car, vacuuming the carpet, and dusted the countertops.""","251","""Verbs Ending in \\""\\""ing\\""\\"""""
"1178","{""0"":""I do not have time to get dressed, {shower}, and shave all at once.""}","""I do not have time to get dressed, showering, and shave all at once.""","252","""Verbs Beginning with \\""\\""to\\""\\"""""
"1179","{""0"":""As my Dad followed everyone to the plane, {he} had his pass ready."",""1"":""As my {Mom} followed everyone to the plane, she had his pass ready."",""2"":""As my Dad followed everyone to the plane, {they} had his pass ready.""}","""As my Dad followed everyone to the plane, she had his pass ready.""","253","""Pronoun Shift: Singular"""
"1180","{""0"":""When he makes a mistake, show {him} how to improve."",""1"":""When {she} makes a mistake, show her how to improve.""}","""When he makes a mistake, show her how to improve.""","253","""Pronoun Shift: Singular"""
"1181","{""0"":""Joe wants to become {an astronaut} when {he is} older."",""1"":""{They want} to become astronauts when they are older.""}","""Joe wants to become astronauts when they are older.""","254","""Practice: Pronoun Shift"""
"1182","{""0"":""When my Mom was in school, {she} would play jacks all the time."",""1"":""When my {Dad} was in school, {he} would play jacks all the time.""}","""When my Mom was in school, him would play jacks all the time.""","254","""Practice: Pronoun Shift"""
"1183","{""0"":""They need to go to {their} own {beds} to sleep."",""1"":""{He} needs to go to his own bed to sleep.""}","""They need to go to his own bed to sleep.""","254","""Practice: Pronoun Shift"""
"1184","{""0"":""When we make pizza, {we} use the right amount of sauce."",""1"":""When {they} make pizza, they use the right amount of sauce.""}","""When we make pizza, they use the right amount of sauce.""","254","""Practice: Pronoun Shift"""
"1185","{""0"":""Most people feel healthy when {they} exercise daily."",""1"":""{We} people feel healthy when we exercise daily."",""2"":""{We} feel healthy when we exercise daily."",""3"":""Most {of us} feel healthy when we exercise daily."",""4"":""{Those} people feel healthy when {they} exercise daily."",""5"":""{They} feel healthy when {they} exercise daily.""}","""Most people feel healthy when we exercise daily.""","254","""Practice: Pronoun Shift"""
"1186","{""0"":""{She} hit the mailbox pulling out of her driveway."",""1"":""He hit the mailbox pulling out of {his} driveway.""}","""He hit the mailbox pulling out of her driveway.""","255","""Practice: Pronoun Shift"""
"1187","{""0"":""When everybody receives their diploma, {they} will shake hands with the principal.""}","""When everybody receives their diploma, he will shake hands with the principal.""","255","""Practice: Pronoun Shift"""
"1188","{""0"":""You can have {either} a cat or a dog."",""1"":""You can have {either} a cat, or a dog.""}","""You can have a cat or a dog.""","256","""Either ... Or"""
"1189","{""0"":""You can have {either} pasta or soup."",""1"":""You can have {either} pasta, or soup.""}","""You can have pasta or soup.""","256","""Either ... Or"""
"1190","{""0"":""We can {either} help you move or schedule a mover."",""1"":""We can {either} help you move, or schedule a mover.""}","""We can help you move or schedule a mover.""","257","""Practice: Either, Or; Neither, Nor"""
"1191","{""0"":""I can {either} help you, or go shopping."",""1"":""I can {either} help you or go shopping.""}","""I can help you, or go shopping.""","257","""Practice: Either, Or; Neither, Nor"""
"1192","{""0"":""Paul wants to {either} study law or travel the world."",""1"":""Paul {either} wants to study law or travel the world."",""2"":""Paul wants to {either} study law, or travel the world."",""3"":""Paul {either} wants to study law, or travel the world.""}","""Paul wants to study law or travel the world.""","257","""Practice: Either, Or; Neither, Nor"""
"1193","{""0"":""He {neither} builds computers nor fixes them.""}","""He builds computers nor fixes them.""","257","""Practice: Either, Or; Neither, Nor"""
"1194","{""0"":""They {neither} help nor hurt you.""}","""They help nor hurt you.""","257","""Practice: Either, Or; Neither, Nor"""
"1195","{""0"":""We can {neither} run nor hide.""}","""We can run nor hide.""","257","""Practice: Either, Or; Neither, Nor"""
"1197","{""0"":""I {neither} read German nor write it.""}","""I read German nor write it.""","258","""Neither ... Nor"""
"1198","{""0"":""I {neither} dance nor sing.""}","""I dance nor sing.""","258","""Neither ... Nor"""
"1199","{""0"":""She not only loved cooking, {but also} skydiving.""}","""She not only loved cooking, and skydiving.""","259","""Not Only ... But Also"""
"1200","{""0"":""I was not only on the track team, {but also} the swim team.""}","""I was not only on the track team, and the swim team.""","259","""Not Only ... But Also"""
"1201","{""0"":""Greg not only speaks Spanish, {but also} French.""}","""Greg not only speaks Spanish, and French.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1202","{""0"":""He not only read every Harry Potter book, {but also} has every movie too.""}","""He not only read every Harry Potter book, and has every movie too.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1203","{""0"":""I don't just listen to music, {but also} play guitar.""}","""I don't just listen to music, play guitar.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1204","{""0"":""Our school teaches {both} robotics and choir.""}","""Our school teaches robotics and choir.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1205","{""0"":""I would like {both} ketchup and mustard.""}","""I would like ketchup and mustard.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1206","{""0"":""I play {both} basketball and baseball.""}","""I play basketball and baseball.""","260","""Pracitce: Not Only, But Also; Both, And"""
"1207","{""0"":""I want to study {both} French and Spanish.""}","""I want to study French and Spanish.""","261","""Both ... And"""
"1208","{""0"":""I want {both} ketchup and mustard on my hot dog.""}","""I want ketchup and mustard on my hot dog.""","261","""Both ... And"""
"1209","{""0"":""I think {it's} a good day for a walk.""}","""I think <u>it's / its</u> a good day for a walk.""","262","""Its vs. It's"""
"1210","{""0"":""{It's} almost time for bed.""}","""<u>It's / its</u> almost time for bed.""","262","""Its vs. It's"""
"1211","{""0"":""We drove our car until {its} tires wore out.""}","""We drove our car until <u>it's / its</u> tires wore out.""","263","""Its vs. It's"""
"1212","{""0"":""The lizard lost {its} tail, but it will eventually regrow.""}","""The lizard lost <u>it's/its</u> tail, but it will eventually regrow.""","263","""Its vs. It's"""
"1213","{""0"":""I dropped my phone and cracked {its} screen.""}","""I dropped my phone and cracked __ screen.""","264","""Practice: It's, Its"""
"1214","{""0"":""The old penny lost {its} shine.""}","""The old penny lost ____ shine.""","264","""Practice: It's, Its"""
"1215","{""0"":""I can't believe {it's} already Friday!""}","""I can't believe ___  already Friday!""","264","""Practice: It's, Its"""
"1216","{""0"":""{It's} raining cats and dogs.""}","""__ raining cats and dogs.""","264","""Practice: It's, Its"""
"1217","{""0"":""The crew helped each other get {off} the ice floe.""}","""The crew helped each other get <u>of / off</u> the ice floe.""","265","""Of vs. Off"""
"1218","{""0"":""He ordered his crew to take the supplies {off} the ship.""}","""He ordered his crew to take the supplies <u>of / off</u> the ship.""","265","""Of vs. Off"""
"1219","{""0"":""Shackleton knew he had to get out {of} the ship once it was trapped.""}","""Shackleton knew he had to get out <u>of / off</u> the ship once it was trapped.""","266","""Of vs. Off"""
"1220","{""0"":""Finding food was one {of} their top priorities.""}","""Finding food was one <u>of / off</u> their top priorities.""","266","""Of vs. Off"""
"1221","{""0"":""Sometimes an ice floe would crack and everyone would rush to get {off}.""}","""Sometimes an ice floe would crack and everyone would rush to get ___.""","267","""Practice: Of, Off"""
"1222","{""0"":""When the men set {off} for sea, they had no idea how dangerous it would be.""}","""When the men set ____ for sea, they had no idea how dangerous it would be.""","267","""Practice: Of, Off"""
"1223","{""0"":""The ship was made {of} wood, so fires were handled with care.""}","""The ship was made ______ wood, so fires were handled with care.""","267","""Practice: Of, Off"""
"1224","{""0"":""Despite all of the danger, Shackleton did not {lose} a single man.""}","""Despite all of the danger, Shackleton did not ___  a single man.""","270","""Practice: Lose, Loose"""
"1225","{""0"":""The crew beat the ice {loose} from the sails.""}","""The crew beat the ice <u>lose / loose</u> from the sails.""","268","""Lose vs. Loose"""
"1226","{""0"":""The old clothes were {loose} around the crew's necks.""}","""The old clothes were <u>lose / loose</u> around the crew's necks.""","268","""Lose vs. Loose"""
"1227","{""0"":""The navigator did not {lose} sight of land.""}","""The navigator did not <u>lose / loose</u> sight of land.""","269","""Lose vs. Loose"""
"1228","{""0"":""They made sure not to {lose} all of their supplies.""}","""They made sure not to <u>lose / loose</u> all of their supplies.""","269","""Lose vs. Loose"""
"1229","{""0"":""They were careful to tie down {loose} gear so it would not be lost.""}","""They were careful to tie down ___ gear so it would not be lost.""","270","""Practice: Lose, Loose"""
"1230","{""0"":""It was important to make sure a dog didn't break {loose} from the pack.""}","""It was important to make sure a dog didn't break___ from the pack.""","270","""Practice: Lose, Loose"""
"1231","{""0"":""The men were optimistic and did not {lose} hope.""}","""The men were optimistic and did not ______ hope.""","270","""Practice: Lose, Loose"""
"1232","{""0"":""There is nowhere I'd rather live {than} New York City.""}","""There is nowhere I'd rather live ___ New York City.""","271","""Than vs. Then"""
"1233","{""0"":""Do you like cats more {than} dogs?""}","""Do you like cats more ___ dogs?""","271","""Than vs. Then"""
"1234","{""0"":""Once you finish your dinner, {then} you can have dessert.""}","""Once you finish your dinner, ___ you can have dessert.""","272","""Than vs. Then"""
"1235","{""0"":""'That was {then}, this is now. '""}","""That was __, this is now.""","272","""Than vs. Then"""
"1236","{""0"":""There was nice weather for a while, but {then} a storm came.""}","""There was nice weather for a while, but ______ a storm came.""","273","""Practice: Than vs. Then"""
"1237","{""0"":""I'd rather snowboard {than} ski.""}","""I'd rather snowboard ___ ski.""","273","""Practice: Than vs. Then"""
"1238","{""0"":""Five is more {than} four.""}","""Five is more ____ four.""","273","""Practice: Than vs. Then"""
"1239","{""0"":""If you eat all of your vegetables, {then} you will grow up to be big and strong.""}","""If you eat all of your vegetables, ____ you will grow up to be big and strong.""","273","""Practice: Than vs. Then"""
